,.gexf,.gml,.graphml,.llm4tg
1237ksTdb7DbvF7gxpd1fHTQwnnHX7tsu3,809601,493473,698925,136386
bc1qajs2q5zf7as3hwnaut3a8qrenugkt0av5tdl8n,789795,503111,710014,146358
bc1q6lzhy7w27yjdcc7evz395r6xa2w4p6xjuvrjcz,799497,503385,709449,144008
bc1qjzm5g408stvqp39a5zarefew73gzsjk5yksd3k,16175,9653,14203,2794
34M6D1MKhUKMwMgKYqRLJE3hteLx8kN8KR,819064,519759,727108,146797
bc1qmr573hdhkf4eyhndmafpatnpjsn3sn99yrly5d,800893,499484,705604,140520
31rE2NyDAcTiKkNaQjuTEbCaCmkgmR6FaS,794477,501526,708466,144060
124Kmphd5V84fUZFBmSQq6hY6yG5eoNCqA,803690,496317,703211,138975
121qnBZGPYYKbRimuyyKLMh8wkxALZcy6j,791568,504188,714647,146225
1MEbSTqxFMB6tYG8yGg5AQ64tiv2gicRih,802374,496028,700830,139867
31qRYEmqF7gCL95Qz7YDMxCmmU4b8K11L3,989487,623363,881328,154978
1GyFpTDmGkvwzP6GeLNh9ZvqLGzpQhDJ2E,801120,497474,702499,140506
344762j88vzyw1RCWFfNSaEot7VGMCsS7Q,792153,505790,713600,148323
34LtCx3mYSimNLSSbYwXVMnUdFe5VRa9kW,797965,489847,683707,135764
325B2BcFDp9tUZFUcPfH95yKJeaGyCjzVV,982827,619412,875617,154693
324RFb9zGMYY9n9TDb8jq3aj9VEwesd8zY,988146,622562,880199,154925
1NP8aP9PjXe3jVanjtJgxgefX5WiFUVxE4,804381,495040,700119,138575
bc1q6ntyy7th20dtx6cenj6auum9tx3s04d9nwe6ge,798007,504159,705473,143462
18HyRV4GSnGB9QmVhwZXR1PhEv1FAhxSee,989315,622882,887494,155401
113cStgwFUZSR9pVsXtgS1bkEcFZAJyn1N,810586,493041,699247,135877
bc1qjvdjpcgj8y604hm2g5hmgut6w2ehp9ucp2dkr7,873408,554718,780750,149999
11pTLVBWZRkzqEcgNoufw5o23mQZoz7fB,808955,493443,700186,136804
32XEw4FFdMdY2yBfSKcNDW6PvxUp2TQaGR,796097,504922,706770,144127
123TRrqymFLiuojRTM36SkGECsEPKBVNE5,805994,494952,704246,137892
bc1qahwrwq7xvx4gee5gfftrtewuqze04z2fz4u2yr,791406,503306,707481,145937
bc1q60q29dse3ednjnc47qkfnrfhzgfvapfveqrqhe,798518,501894,703141,141875
128pgbji6smBKfHiPqV8meT6g4gWXmaKrG,812538,507426,717896,142864
34MKRJZz6BiUjbCAeNyTWNjkW5KgdKgyoP,813801,483995,689362,129886
1BE8LWsQDPZdg9Tg7Qkzx3AywFntjxaQcG,793720,505966,710336,147801
126L8AAF48BnvCDEzNFnjWshfpxFNJSiZ7,798627,499643,705551,141537
14d7eerjLu1AzeAkPVF42kjYh9uJyswaJP,795905,501824,708400,144764
127NioLCG3MZnGHB8V23jMtWoHyehKUCbL,798193,500172,710657,144184
bc1qaj4s9ejkqd7zqk6jzav24par3hhngzsxy48sp4,788997,501622,707434,145229
115vBjA3Cz8LgoyCBK98D2cqRAQS3cTW5Y,808345,494896,701785,137554
1M3EQsERYZbUzNxy7wjFAphh9Tkh89b7HR,909475,575687,804971,151720
1238gQAE8mMQMf3oPUiNcfxSHR5XSAYcAP,814094,492109,696938,134034
13pytW4DaJj9TMXCMkJhP2nfMeTEhfyFpm,792252,505427,710795,145368
32Jp4dqNgVroyRHFNVTfUMiHZ4wPWMdif8,988847,622918,880719,154916
13heSijUER16svwYavTLuziBKdNXEmyUHX,925170,585003,826757,151781
bc1qah3kg9mqdtjp48jpsm9hr84lcwkv0a8s2lmhkf,790656,502106,702721,145821
32fPkXwr5Bo47jxU93NJtUdmMF677Gv5yC,987485,622123,879599,154861
bc1q42tqwksqwaksk8m2n5mh6a8ccp9w3egxmp5alu,798406,502050,705588,142420
bc1qahn4dmrhkurrrw27ssu9jxxnmxg0s5uhjmhtv2,790788,502265,701179,147034
34M5btHUBTcYdPTgZ7R2YWusnPAxJzTM2z,786611,499846,705437,146475
bc1q2v9c86juynd4uqtwx8c8qrxwxv8wd9qg37ym7p,795068,505468,708708,145265
13CqXzjK9RHSZfSKnHExcZCmAugdLKAr2q,813314,484663,689747,130096
126KA7VwCe9qjhvkLZMGuef93mLtMxSPA9,790396,504030,713969,146570
31hGT9d9hU3bSQHXmM7xRtFt6eh8nUgZug,805960,490963,694408,135829
153EJyPovhiBmAFHt6oHxPEnhpJTiNooZN,799694,498123,704404,141584
32a4KywVQez5msoyXfA3Qs5BcpGWJb6zFJ,984596,620437,877114,154752
bc1qeuzke0t6cme84tzmrdepv00cafkznazwwxwx7j,794474,506523,711468,147783
31n8xZc5ApTPspNuGE8EmkSciqQwFpCXM3,813605,487621,692076,131380
328SbvaCHCAdGLML2n6TAwpXtCwu4ayxqB,971378,612547,866146,154033
113sd957fkmDFNpvaSNdv6e1zv3azvwJtc,804631,495959,702999,138843
bc1qaj0avlw0stl39vggtysrcum3uljcaya6zcvund,786004,499577,707862,145966
122XJsaxDExxbqqDo6it5JkrppxcCogMdV,795180,502492,709850,143724
35KvpbT4TAFCZaQ8sa8znowDpRviN8QUGv,794907,505867,708161,145424
19WTf8BHrAGDEafgR8aMUqM81ESik2iftr,813473,489786,693106,131916
124XaSdLNtDZBNvQMTtxedvbCn3krTMDjM,794260,504166,712769,146543
18HzDC5s7qCTUBsFE5W8BdB1KK7L3tsvz5,797380,502710,705036,142986
1188W1GR7TNvgyTCHcmkRLk3joCELhoW2,791973,505344,715605,146675
1239HC4y7C7aKGG4AgZax1GyTkVvmg5Mvi,801596,497455,707057,140605
bc1q8e4dc0thj7x2wkgn0s79k2luanqnw0h6k4dnxe,797549,503459,703067,145009
126MNoqsaHB1dSi4fN6Qrr8hsNzgWxJR9e,788686,501930,710116,146272
126X8X7PvJm3ShNYn7JiczDZKyDv6asP9d,843380,536074,756662,148106
18hxSYbNPW7a8gDNYuxusDNZn23jPd5jrq,989317,622899,887507,155413
31vQ2Exh8pTscwPgwnYmmjsa4pZTj5szMz,989372,623201,881127,154912
bc1q4tc67xkm7qha963mgt0usuf28hlw2dfk559wld,796842,503778,707612,143595
18hTQTbKkWvQEEawE3cTqsZv7TuL8uWjVK,864687,547833,770964,149160
bc1qaj97uesgvwd5clf63rjrth0vfzkds5gk0j2apw,794611,506194,711119,147529
1NgHrGyFj2LQihUDZ3xoMVwB1KkHBpHchK,810635,485699,688961,131848
31qzmewy8GKMpJufQmPCeVQAUBo6sjpHtj,989413,623283,881202,154947
32hY5ZXUAW4GQJG2sKuiKhU8QL4bKc1Na5,990021,623651,881718,154979
31ideGQoxS4RjZ7nfvnKsZruSqgGZhEJVB,801279,495801,699662,139633
bc1qajdq8sfrqfdhsl747xgrcdfyzaad04lkt442wt,787551,499516,696821,144671
18hU3jkCyNGuUDVYhJMh6qq2TNFHaR5dDs,818436,488689,694231,129825
112B9aCeSnfSxqephrTxC9ieotD6fkZfae,814109,490909,697287,133109
34W6GLrFyDP3WpPyKH5dds6YJua2kbrxnX,797676,496988,703470,141052
35hNRbmpPAoFtWzsFBCrhe4jwXVhLK9s5M,795424,502195,707287,144690
bc1qajpm88styw3krjuj7ctl9wxtu0unzx8gx0nzsg,808197,513638,726305,146103
121bAQXWGCFFL4q4xKyLNuba5mSfT9i7z1,799220,500884,709563,145663
128i8xXMJ7egrZGyb5nsp7umdKraRZJrGp,808811,494424,701897,137168
116DyqrEHyUgLG3k8RpvYSBRTbxrex6XS9,797433,499712,706657,142933
31ibgLCFdPbjk5vM9Q3F9KVdzjjJpHMWPh,980691,617954,873626,154472
32e2Mhiu3ehvEfeHCTdK7sriFWbqevkHSH,988672,622824,880553,154907
bc1q6d08486u42h3kwnyu9qfa236g0ntk0rkrgjcut,799591,501857,702505,141907
34waxu2Uzw3sJibyhaupjwLFddHBhebW6b,811554,486455,691365,131414
127LwtKcGowTprCFUMBvA1bPvFufKBXuLw,807694,495943,706049,139095
18HUtfEZADZyLyxMcJEnPU5gNcpUsNXdzX,791553,502882,707584,145639
bc1qahq33cm582n0awfqqm0zz2sg720dj8c5ksrh7x,788702,502297,706204,147202
1BB7Qk5ewGWbVSiKFdyjqPp5RKbMUwhhFe,802775,493823,698120,138491
1222GMViB54i3eFwqVs4FiDHQBxaUZJ8rK,795958,505136,713150,145705
125JW6WuMHHSCEM3SkTiKE2K3tpT5bHBEF,808152,493841,701564,136990
35gzFHMRCeS8RYCn5qXDrhTR3JGBnNyCTb,797125,503737,711208,143891
34LQG86FojCTZEeyHFX9EEpuoYExPYnXhJ,793427,506730,714592,146650
35mYZAMCepNZKXbgsaUqwaeCV1z9QNPtus,795586,502843,702531,143394
122eMdJfmfyw3MskBZRkCMyvUtYcYoExgt,806666,487820,692324,135436
34M77xxCqC7HSm5K8qSXsZPXN6u49rcYYS,807602,493490,698873,136026
1EfkwL5rtaKfYDormeRfsXmdDr25mc5Zew,802379,500817,706391,142241
bc1q3xu2p9m69v0f2n52ch4d5tvr75526t00hvf54w,798979,502321,707523,143331
3533PusuUMN5B2Wqvo2FqStrCpLvaMg9B7,808573,491343,696489,134885
34mdBrmcUkJ41ahGpFtBXXEYRy4GozeTY8,796425,504755,711873,145755
34mFu6KkQHsnsczcFkUejs1PjSLDyVqMik,790070,503939,704551,148350
bc1q74qvymre4mw6yuek2qmyh0crsg6kl2xxwh83p7,798152,503456,707397,143403
32HP1ExWevYGtpWaMnbmnfifxDzkdWbXNR,989716,623466,881478,154961
122xEPDh1U6PVfPMek6C5894ChpLAwQNLh,791683,504867,712488,146291
34LzBDk8fAXM8YSxQuRSsQ9MSJmEpbG261,789849,502835,704709,147058
127o4gpYuAZmW4EV3pLLcQB3ErbxDeSNF1,812052,493844,701575,135580
bc1q70vn8zl2md2ym6uede5fa9cf5945l5v0p2wpg0,890286,563791,798069,149677
128GfKaE78XL6epFcGmLmnv39VSQwPyMfY,791339,502887,712454,145064
1BajruCnrT2Uubjc5C4Yd386fGtJifYk8y,795892,499116,703385,143468
34iYYeRFNuE8utRhVpDUpj2jmD5wY9tdLM,793242,507588,715272,147903
bc1q3eryty9y32x59hsedeveg7a4dg4rdjgmyu5c72,798679,502505,709537,142620
329iWV7m8WJvcyNzhd3oC7vYibxNhjJux3,990047,623677,881752,154979
354WhpndqDKwFvVKyDTXSfzwNtjv1yYze6,794508,504800,711365,147106
bc1qah5l20ufvgfjdczfltqgnzpd270m927ccdhxw7,792154,505567,710914,148468
34dE6vszNEfnC2S16psNnF6qKxqeA7etcF,792656,504586,713395,146196
11sW9oJonnokfzxmWt9w1u1E91cafBjUX,789714,503150,712612,146347
34M8N8V7PSbFE32vnCCavQ8Nrk6zeYWVuD,801365,495647,698662,139196
34LoUJhxqKKFnu9Jqc4MxWUaeVYLVKZmKj,814637,484351,690763,129592
127Qt8UGjL3ZwFaqp6yxctxY5xGNCEuQXH,792389,502858,711395,146482
bc1q4qtpfqvu49j7dz76smd8fpuhx4v3gttmu6t8uu,794856,505485,710414,145883
18HyvEpqiC9eCnAE6HUSBU5LeeuHPN66w3,782951,493982,677607,142141
34TNgy63vB2SthPAGmNFhydTneCkY65syx,795367,505033,706805,145460
16QgbW4xtpkRWm4MBWFWmjaWzDZutbniWQ,797140,501118,706825,144913
1219G5FznA5mbUSDQPjJGDBUKU1v4Lydnj,810854,491126,697312,134566
323GQ5mUW98nkemUqj9KMYQgtMigckFm51,989847,623513,881557,154951
1dub8S9WXcybVZkLiBfrxe78ooVrTXMHh,811641,485850,689339,131464
18HV7kiccWHtE9MvdeBLJ4qgETnrLXzeij,792746,505399,713909,148140
31pVH3n9zA4w2zB6dkKU9iAGqX5ZfDK5KT,986586,620931,877963,154449
1HepvEVnkMNCJ5iD7RHJVyk1ZiXzUM9PcQ,815715,489095,693279,130586
127MVnJLtDAq5srWJzx6wcGeJiFynZtarV,808244,495057,703214,137641
1226r17cpnWdL2AvRt5ixdU3hAoNu5WsQ9,793376,506207,711850,147575
114KoNLXe7t4nogQP5gHfhWRm5TeXvWeLf,812181,492350,698397,135089
11aj6Sf1mSRtncfdowzbz1ufqG4ckHcuh,805063,494097,698132,136881
bc1qe7g2ln7cmtdqpudmtz2dh0uqn2jmpmudjad4ec,978267,615219,872671,153082
32hz6fNrdZYkTZRnkjqomfF6ko6YNNQ36Z,983409,619784,876231,154731
32chePvgJP9M8sZJqhAgihCdodNKHRZaVi,989739,623507,881531,154981
bc1q4wkchdpeg05age7plt6gh3cx59v6dt2q7gfz38,794732,505263,709327,145440
128dwXTnTPEnT7CuHjm7Vq26eYFQG5ixbF,795808,506863,717259,146914
18hwgddeFazbhtgV76kZvHLwNRbCjbY4MP,795437,506821,714741,146805
115fCqq5wCaJTebmf1ef9boJ8CucECjfrV,807241,493401,696571,136386
18HxDB5tbpzvmdXWmj6HyFFV8i2B6PPko5,989334,622901,887514,155407
32bk7TS4aDLTWHbjGRQauKPphFia8NEmNg,989019,622991,880818,154907
32CWyK1fT7HJ1xFPqTiZAnJyYhUgeTnDWt,983186,619594,875837,154697
128akNqZb5M6xmZNBuKLLWQy39wvvZBnhT,792354,504818,712290,145859
bc1q8snget0xn0w7cfrn2utl3n4awmzqk7prt3ctt8,794434,506044,709083,145812
bc1q35weq2hr9tknuaqjqtckcmtrq0nav7tqsdfvjw,797508,503237,702619,145129
13LqXbpJ2863xSC1PSdr3KnZG5ETLPE7gD,809373,491062,697078,134694
112Px7H1kNt4UPoPybXvNBB6wUacAWwEoM,801599,497458,707059,140608
bc1qk9exr66qnyg8yjgtuz2ymc6z6836gwn057sy0t,830064,518543,733265,142352
32w1BNeqTbMM7Lr6xpWWqqPhDPZ6xsc157,840168,530590,743563,145522
126KaL5XdY1x7y3Mg2CB8DpUpHgAFpgtT1,790781,502741,711769,145360
31w8mRG6ZrYtqgEjPAZ6EZ13viHNeQKdMz,953266,601043,849549,152868
bc1q8xypw9mf4att6lg4f6pry096fzqpetlw2gwkhj,794731,505556,708958,145558
12mSvnNWT1m56QbVpomtpCZqCCfj4xLfGH,932959,589373,827584,152153
12BpuwoQbFXXcC3CtYGUsqBuWbVdoLgrQa,969529,611670,861640,154170
bc1q9cdtd265n54s8ffd8q3495l70a4a76hdlve5dm,794674,505557,708115,144961
31n3eCxj237idnt88Gb6TwEDUPBb5eTvwJ,810973,489679,694469,133230
32FYhgtRFwkTWUQnKJLngRrriQvWfHV4Uf,986459,621547,878723,154836
33WR7ak8tdPi5q56jbtnUc6VTLgzsJCaWK,987352,621108,887900,154456
11jFDt6dpdwoQov1S8iCDJD6hgiSso7iL,812897,491887,696885,134394
125ykvResgG6xpk4VYciwxBGjVuaiGoEaE,801088,508305,715841,147904
bc1q6hnu8p76q7akr7cr9z06vtq8kr57vc49m7wqyd,799665,502017,704885,141852
bc1qahvfrcmzk36tm20376lklfpnffmfzea4tqn3pn,795400,506603,712442,146813
bc1q40hgtwuj8qw4ax48kkpqwsj8486zyjwx6gmn5c,796952,504281,710088,144213
bc1q7x2zy6w5g7cg7hlk3h3kw8trermgqmgszsach3,795801,503626,709105,144609
353e5WkESkb4eVD7hUpD1soE1XFNULUkFh,813873,483977,687460,129328
34LTuTADum45ysAEVTagiy46gFrvp9gicF,786719,500653,706146,146800
33VBS4A6ys5gP9qyyennMUXbEzb2XjoEky,792355,503289,707667,145882
bc1qajgeyw3c2ynmq3f8n6qazfkem0rw3f860xf3zg,799693,500070,705381,141488
125gSs2bkHFkDXB3fpU6PAYqTkgTxJPNq5,791457,504114,712595,145327
33ExZfdhphPTtGfsWSzGz3veGwPsex9KbV,794070,505937,706973,146021
bc1q2kukpezy737cf7aa2qsrmrnaj8mfnkm62njc8y,797690,503101,705914,143144
31wJrM2TzCZHYuj41hrNJmZQWSQSVuyPZn,990051,623676,881772,154983
1134dXzfPQLwpKwzUHwRupJGeiTKoarZgL,808415,515782,727678,148425
1167e9TvSVyDr4Q3Go7J35FkGwYJNVccn8,792456,486032,689016,136771
18Hu8bzTeyguy9R2Y2Z7QsXHAskqrkYGsx,795787,500828,700988,143586
bc1qajcr4ahv9uee0yfhh7e3e6v66jy0gtf82zzhpj,809381,514201,723221,147451
31vvD5sb21qDXXvqa65Pq4krpPLbCZvKcH,989695,623490,881479,154980
123csbXD6kQYezUXuBbAyHQXZiGpceysBV,795509,502220,711449,145514
34LTa67sMzcGNyxZfCvXkhmGqdwd7XdiL4,815061,491804,697395,132888
1233dEtb6ko6XBXSBXYBgyyoScQrC2j7Tt,789875,502991,711587,146265
bc1qrdqhfwhunz9m0k732tn2fkr5alyj7wy6j49yy3,805024,496983,702405,138312
bc1qajlu8f0td3spvxtencngzuzp4jj8zz5dyrxssh,791575,504039,710810,145875
122DtfHcJNL9qh3Vi6DVbUQkfkP19GFBDf,791127,504101,712605,146367
1258Xo711dCCGNxMfp8ekoSqApsPLJdi77,824682,501560,711527,136517
131QS1gNQHSZoicEmyB767znX76dMmRLMW,801542,495335,699607,138955
34RGnpVx8nBZzXGNUeTcYcpHojPNkboUVp,821425,505000,710444,136279
19FrsyewqdbuY4Y84aF7wM1954R8dLtAjY,812995,487102,691208,131356
114JHbtoocPZH5Lz2MqfvdGuKz1gigbedR,814001,492815,699135,134726
114AKxJDe5cMii3rFsVWJjmtBe9FmEzC6L,811556,492295,699194,135194
121jPNo86ifxu2jhfnV1FiBbodCf8EGQGM,788416,501900,711912,146370
114hkzX76LTvekU2Ehzj5L34hQ2QUbhfLJ,793925,502586,711602,144173
bc1qkqcxdmah8ekguadu8e02v0uxfgq260e4gnadxr,792693,506162,711627,146941
122sB2PHxWtWYdFDBcWaicnw7jaWZMnJFR,811053,486466,691719,131442
bc1qqt0uz2kd8a80qju07k3k74nqfmzxuwj49ukcyq,43800,27185,39171,7821
31hKmoB3aeBLqksmnYdFNiH4jAUtTDkbDV,976494,615629,870411,154391
113us8ZNKRT5VRoN3D2VbJjUWqDRNyffTo,801895,497326,705329,140297
bc1qlxqfvvekegtj8hxf2qkqpspz72rgavef08k3gl,958875,605102,848787,153862
31mDzuwnSemcexYnLTtnpjYtFvKwN1E6oF,989584,623388,881363,154954
121BY16YLeWriYbWJGLuaa13pXvDT13P5g,792325,502833,708922,145900
1MnuKom67wTGSK5MQz8PRc8Wtf1RS61tox,802068,495594,699530,139376
34eEm1y9qUW42Z3Z6Y5hGMsW6TebReN9Lt,478058,298737,420921,87153
bc1qaj64k5u75xf6hr6c7wr8ue3e53kzz9yfme8tnz,793583,506199,713946,147223
bc1qajpdn93wya5k63juavjfclrpwm3y668r33e4a9,791038,504096,706702,147444
bc1q35cacjrh0607922muw3f658a6mfq2qq4qservz,794850,505052,708476,145525
bc1q3wj92we8hnn4pufg7nhv5rqrds9fcryx75zlcq,795787,505283,707523,145168
32hZSUM8sdVxxAdWn3jiZanE5u1xXPp45A,975709,615205,869492,154390
1etv1vRdTE7e93WXanxY4P23LvSWKQihU,792207,505847,712423,145003
35nENpWj7TcJEVKGypqgXd4beMeC4NeCdb,961946,601432,845524,150440
342qFSLpYwLQZJqCFH5EeULvzP9yMmnN3d,788585,501820,706530,146727
123Vh5HjtgUpcJNMF1girGg7W4pj5UmC8L,794791,501635,708263,144104
bc1q92y077wksdjkuwlaspqr2ehklctvmz6paa8fde,796562,503663,704336,144184
31obhDDLJfoXDGRYxKX678he7KVrbXHb4a,987947,622048,879504,154677
11X6Qh7uAfTzdHogFCDDspDwRaU9ddFxT,792751,503074,712199,145400
31iERwWb41DN5ioKDjXhg3qejGCXuG6wWt,806146,492085,696761,136011
31uXhnmGfEyEYYbsh7rYEvMfXTpqLavG6A,988542,622796,880495,154940
bc1q880gs72szhte6pwg3u009qm465wd3f4cyuxv0m,801910,503553,704865,142399
bc1q3e793dr6hzu7hnuxugxd873her5t0n6c0fnwa0,799751,502067,705390,141647
33znhbwArCtSicWb7e8EHodc8VZiQ6RDhF,791639,502887,713619,146792
18HtQmM8aCPmTn4vRpHmqUwmteW4m65dXh,801569,500250,703273,141133
128SRY5KTzhKzHUNgjjFdHsyB8zYAhpiwr,792072,505346,714402,146482
1229wa5bLeLfgHpXn2FfQ43Bphs2DuWFtb,792017,505066,714854,146003
34m6LUfByQ8gZdhEvvWmYcEzUHrHYbHgAW,815571,486223,692913,130733
34UvTsX8AFbbnTt6aoU4az9EwvttpFPFoF,791743,504363,712481,145239
bc1qajmkh4qfn29yzvwzgqkqf629tjexe6kkepq9xf,792164,506052,713068,147002
1283SAVQUCPkwtt9UteeJYBQBeUU4u89Lf,791608,505163,714143,146403
1163my4jsqbJ73y7CZBttfLqiczkQVAGuN,800234,502238,709831,144089
bc1qah5afy0wz2avwk35v666qnyylqwaag6ady3qw7,786237,499697,702998,145327
1Ak5tA1m93bgHaGCkpXkmdvc93BNmGJoVy,795378,503300,709156,143827
34MgJCgmJQUns1w5Kad3UCTPBc4MvUxPw8,792133,503623,707902,144956
32C5cYu58kMAs4efuz7tUG4x6ToK3SmWwF,976202,615442,870106,154361
18hWBvdbpqeQdWs6DSWpBse2WsTExvEJYG,989311,622893,887492,155408
12856GKunsZAd3RJ3LWLu4myDAFQ5h2iCX,811098,489318,694629,132138
32KNzuije4LW1jvBzvKdbK2FvVrnksGSwk,987027,621914,879177,154873
112aZ1PtMY1APZiE8uCdC3YD8q7dGKHfjo,789148,502590,712670,146551
31nSBXfpSUvdE3HLhnfWFtjGWr6STD5qAg,985564,620907,877802,154744
1H2cn71samH3Z23LfBhJV9TqNwsLsHaAEy,804849,492775,694544,137248
bc1qf8xlgcr7cyumssuryffu77mrr8fgmjzhvgs6ll,790946,502135,712080,146132
34mLCDfB58tjy8jBNPpqxgY8qKUau7txQX,789363,500598,714426,144579
1NNaXvkzkGFLwjs3BkmGYGVirDhHot9wvg,806570,491404,697143,135324
18hy51EHvfwqG8H5eFBdLMBjtYvUYuFaXC,989482,623005,887681,155412
34WPZMJLhCMNHKHLPFwKzK4KWG7wVYpcJE,809284,493062,697743,135571
32DbB58k2wHhaM8SYvNk1zZ15AinzuUHfy,973841,614113,868076,154338
33N1AX7HR56Rdz88ptnyGkPVYhf2SKH25e,792170,503524,712281,145664
13NvGpCNkU6J4qCk5RkczmxRVUYkGUTvwX,789704,503265,712867,146915
3318kA75ufTjhNiPsYXEiGm8iCE3NwvrSk,795749,503854,706650,144429
34Lti6q5Ura7rFMisSWB3J76xDtNEXx5zX,781146,494540,676912,142987
1H4MbDzQgBrDTQsCkphZN9xbss4wfH7d9t,790551,504513,712715,146144
18hwuwVDm8Rk1MvxbXqifgHS7BQ3jy8GMs,780636,494614,676661,143199
bc1qngnelan3e4da9jzred2xn0hqyvj9fvuwspgxam,806342,492710,698609,136739
32J9sCUk9KZDMNNbiy4SvBwpgmhf3ZZega,989766,623451,881455,154942
bc1q60l9dlgn5qce4l25gvj268xtv2lr9fmu6nt7v3,794368,506207,706901,146374
123FkKjXZTfa1LC96ucjBvpVBk73VBaGym,791529,504922,713675,146349
18hYGKk8BcreieeJwNqSBsuVCeDXTmmQ91,894226,565552,794760,150041
bc1qajhccyhunhd72j2989vt5tjyygsre30uvsexm0,790238,503857,704500,148101
12uLgUi9A2fBuFVtC4pWjjkeAdeU6fVQrU,824204,520549,733343,148010
1AYx5TLLY5TrUQDm4QeAGfZy34SgxF29oe,811650,487550,690651,132181
